;;;;;;;;;;;;
Capacidad Instlada;;;;;;;;;;;;
País;Año;Descripción;Dato;Unidad;;;;;;;;
América del Sur;2004;Térmica renovable;3329,52;MW;;;;;;;;
Caribe;2004;Hidro;797,00;MW;;;;;;;;
Caribe;2004;Térmica no renovable;11034,77;MW;;;;;;;;
Caribe;2004;Nuclear;;MW;;;;;;;;
Caribe;2004;Geotermia;;MW;;;;;;;;
Caribe;2004;Eólica;21,21;MW;;;;;;;;
Caribe;2004;Solar;0,02;MW;;;;;;;;
Caribe;2004;Otros;;MW;;;;;;;;
Caribe;2004;Térmica renovable;483,80;MW;;;;;;;;
Cono Sur;2004;Hidro;94210,54;MW;;;;;;;;
Cono Sur;2004;Térmica no renovable;36307,55;MW;;;;;;;;
Cono Sur;2004;Nuclear;3012,00;MW;;;;;;;;
Cono Sur;2004;Geotermia;0,00;MW;;;;;;;;
Cono Sur;2004;Eólica;30,98;MW;;;;;;;;
Cono Sur;2004;Solar;0,00;MW;;;;;;;;
Cono Sur;2004;Otros;0,00;MW;;;;;;;;
Cono Sur;2004;Térmica renovable;3249,02;MW;;;;;;;;
Cono Sur sin Brasil;2004;Hidro;25123,54;MW;;;;;;;;
Cono Sur sin Brasil;2004;Térmica no renovable;19881,42;MW;;;;;;;;
Cono Sur sin Brasil;2004;Nuclear;1005,00;MW;;;;;;;;
Cono Sur sin Brasil;2004;Geotermia;0,00;MW;;;;;;;;
Cono Sur sin Brasil;2004;Eólica;1,98;MW;;;;;;;;
Cono Sur sin Brasil;2004;Solar;0,00;MW;;;;;;;;
Cono Sur sin Brasil;2004;Otros;0,00;MW;;;;;;;;
Cono Sur sin Brasil;2004;Térmica renovable;119,15;MW;;;;;;;;
Zona Andina;2004;Hidro;28052,48;MW;;;;;;;;
Zona Andina;2004;Térmica no renovable;18413,03;MW;;;;;;;;
Zona Andina;2004;Nuclear;;MW;;;;;;;;
Zona Andina;2004;Geotermia;;MW;;;;;;;;
Zona Andina;2004;Eólica;20,70;MW;;;;;;;;
Zona Andina;2004;Solar;0,00;MW;;;;;;;;
Zona Andina;2004;Otros;;MW;;;;;;;;
Zona Andina;2004;Térmica renovable;56,50;MW;;;;;;;;
América Latina y el Caribe;2004;Hidro;137424,42;MW;;;;;;;;
América Latina y el Caribe;2004;Térmica no renovable;103184,97;MW;;;;;;;;
América Latina y el Caribe;2004;Nuclear;4376,88;MW;;;;;;;;
América Latina y el Caribe;2004;Geotermia;1380,41;MW;;;;;;;;
América Latina y el Caribe;2004;Eólica;143,61;MW;;;;;;;;
América Latina y el Caribe;2004;Solar;0,02;MW;;;;;;;;
América Latina y el Caribe;2004;Otros;0,00;MW;;;;;;;;
América Latina y el Caribe;2004;Térmica renovable;4176,62;MW;;;;;;;;
Argentina;2005;Hidro;9939,00;MW;;;;;;;;
Argentina;2005;Térmica no renovable;13140,00;MW;;;;;;;;
Argentina;2005;Nuclear;1005,00;MW;;;;;;;;
Argentina;2005;Geotermia;;MW;;;;;;;;
Argentina;2005;Eólica;0,00;MW;;;;;;;;
Argentina;2005;Solar;0,00;MW;;;;;;;;
Argentina;2005;Otros;;MW;;;;;;;;
Argentina;2005;Térmica renovable;;MW;;;;;;;;
Barbados;2005;Hidro;;MW;;;;;;;;
Barbados;2005;Térmica no renovable;209,50;MW;;;;;;;;
Barbados;2005;Nuclear;;MW;;;;;;;;
Barbados;2005;Geotermia;;MW;;;;;;;;
Barbados;2005;Eólica;;MW;;;;;;;;
Barbados;2005;Solar;0,20;MW;;;;;;;;
Barbados;2005;Otros;;MW;;;;;;;;
Barbados;2005;Térmica renovable;;MW;;;;;;;;
Belice;2005;Hidro;25,00;MW;;;;;;;;
Belice;2005;Térmica no renovable;29,50;MW;;;;;;;;
Belice;2005;Nuclear;;MW;;;;;;;;
Belice;2005;Geotermia;;MW;;;;;;;;
Belice;2005;Eólica;;MW;;;;;;;;
Belice;2005;Solar;0,48;MW;;;;;;;;
Belice;2005;Otros;;MW;;;;;;;;
Belice;2005;Térmica renovable;6,00;MW;;;;;;;;
Bolivia;2005;Hidro;460,99;MW;;;;;;;;
Bolivia;2005;Térmica no renovable;917,80;MW;;;;;;;;
Bolivia;2005;Nuclear;;MW;;;;;;;;
Bolivia;2005;Geotermia;;MW;;;;;;;;
Bolivia;2005;Eólica;0,00;MW;;;;;;;;
Bolivia;2005;Solar;0,00;MW;;;;;;;;
Bolivia;2005;Otros;;MW;;;;;;;;
Bolivia;2005;Térmica renovable;0,00;MW;;;;;;;;
Brasil;2005;Hidro;71059,00;MW;;;;;;;;
Brasil;2005;Térmica no renovable;16431,62;MW;;;;;;;;
Brasil;2005;Nuclear;2007,00;MW;;;;;;;;
Brasil;2005;Geotermia;;MW;;;;;;;;
Brasil;2005;Eólica;29,00;MW;;;;;;;;
Brasil;2005;Solar;0,00;MW;;;;;;;;
Brasil;2005;Otros;;MW;;;;;;;;
Brasil;2005;Térmica renovable;3338,48;MW;;;;;;;;
Chile;2005;Hidro;5076,54;MW;;;;;;;;
Chile;2005;Térmica no renovable;6571,17;MW;;;;;;;;
Chile;2005;Nuclear;0,00;MW;;;;;;;;
Chile;2005;Geotermia;0,00;MW;;;;;;;;
Chile;2005;Eólica;1,98;MW;;;;;;;;
Chile;2005;Solar;0,00;MW;;;;;;;;
Chile;2005;Otros;0,00;MW;;;;;;;;
Chile;2005;Térmica renovable;119,70;MW;;;;;;;;
Colombia;2005;Hidro;8948,09;MW;;;;;;;;
Colombia;2005;Térmica no renovable;4377,65;MW;;;;;;;;
Colombia;2005;Nuclear;;MW;;;;;;;;
Colombia;2005;Geotermia;;MW;;;;;;;;
Colombia;2005;Eólica;10,00;MW;;;;;;;;
Colombia;2005;Solar;;MW;;;;;;;;
Colombia;2005;Otros;;MW;;;;;;;;
Colombia;2005;Térmica renovable;19,50;MW;;;;;;;;
Costa Rica;2005;Hidro;1303,63;MW;;;;;;;;
Costa Rica;2005;Térmica no renovable;395,57;MW;;;;;;;;
Costa Rica;2005;Nuclear;0,00;MW;;;;;;;;
Costa Rica;2005;Geotermia;165,71;MW;;;;;;;;
Costa Rica;2005;Eólica;68,55;MW;;;;;;;;
Costa Rica;2005;Solar;0,00;MW;;;;;;;;
Costa Rica;2005;Otros;0,00;MW;;;;;;;;
Costa Rica;2005;Térmica renovable;27,70;MW;;;;;;;;
Cuba;2005;Hidro;48,20;MW;;;;;;;;
Cuba;2005;Térmica no renovable;3549,30;MW;;;;;;;;
Cuba;2005;Nuclear;;MW;;;;;;;;
Cuba;2005;Geotermia;;MW;;;;;;;;
Cuba;2005;Eólica;0,50;MW;;;;;;;;
Cuba;2005;Solar;0,00;MW;;;;;;;;
Cuba;2005;Otros;;MW;;;;;;;;
Cuba;2005;Térmica renovable;677,10;MW;;;;;;;;
Ecuador;2005;Hidro;1763,54;MW;;;;;;;;
Ecuador;2005;Térmica no renovable;1898,05;MW;;;;;;;;
Ecuador;2005;Nuclear;;MW;;;;;;;;
Ecuador;2005;Geotermia;;MW;;;;;;;;
Ecuador;2005;Eólica;0,00;MW;;;;;;;;
Ecuador;2005;Solar;0,02;MW;;;;;;;;
Ecuador;2005;Otros;;MW;;;;;;;;
Ecuador;2005;Térmica renovable;64,80;MW;;;;;;;;
El Salvador;2005;Hidro;460,93;MW;;;;;;;;
El Salvador;2005;Térmica no renovable;532,00;MW;;;;;;;;
El Salvador;2005;Nuclear;;MW;;;;;;;;
El Salvador;2005;Geotermia;151,20;MW;;;;;;;;
El Salvador;2005;Eólica;;MW;;;;;;;;
El Salvador;2005;Solar;;MW;;;;;;;;
El Salvador;2005;Otros;;MW;;;;;;;;
El Salvador;2005;Térmica renovable;81,00;MW;;;;;;;;
Grenada;2005;Hidro;;MW;;;;;;;;
Grenada;2005;Térmica no renovable;37,45;MW;;;;;;;;
Grenada;2005;Nuclear;;MW;;;;;;;;
Grenada;2005;Geotermia;;MW;;;;;;;;
Grenada;2005;Eólica;;MW;;;;;;;;
Grenada;2005;Solar;;MW;;;;;;;;
Grenada;2005;Otros;;MW;;;;;;;;
Grenada;2005;Térmica renovable;;MW;;;;;;;;
Guatemala;2005;Hidro;655,30;MW;;;;;;;;
Guatemala;2005;Térmica no renovable;857,90;MW;;;;;;;;
Guatemala;2005;Nuclear;;MW;;;;;;;;
Guatemala;2005;Geotermia;26,50;MW;;;;;;;;
Guatemala;2005;Eólica;0,00;MW;;;;;;;;
Guatemala;2005;Solar;0,00;MW;;;;;;;;
Guatemala;2005;Otros;;MW;;;;;;;;
Guatemala;2005;Térmica renovable;187,80;MW;;;;;;;;
Guyana;2005;Hidro;0,00;MW;;;;;;;;
Guyana;2005;Térmica no renovable;223,68;MW;;;;;;;;
Guyana;2005;Nuclear;;MW;;;;;;;;
Guyana;2005;Geotermia;;MW;;;;;;;;
Guyana;2005;Eólica;0,01;MW;;;;;;;;
Guyana;2005;Solar;0,02;MW;;;;;;;;
Guyana;2005;Otros;;MW;;;;;;;;
Guyana;2005;Térmica renovable;24,00;MW;;;;;;;;
Haiti;2005;Hidro;63,00;MW;;;;;;;;
Haiti;2005;Térmica no renovable;181,00;MW;;;;;;;;
Haiti;2005;Nuclear;;MW;;;;;;;;
Haiti;2005;Geotermia;;MW;;;;;;;;
Haiti;2005;Eólica;;MW;;;;;;;;
Haiti;2005;Solar;;MW;;;;;;;;
Haiti;2005;Otros;;MW;;;;;;;;
Haiti;2005;Térmica renovable;;MW;;;;;;;;
Honduras;2005;Hidro;477,10;MW;;;;;;;;
Honduras;2005;Térmica no renovable;987,90;MW;;;;;;;;
Honduras;2005;Nuclear;;MW;;;;;;;;
Honduras;2005;Geotermia;0,00;MW;;;;;;;;
Honduras;2005;Eólica;0,00;MW;;;;;;;;
Honduras;2005;Solar;0,00;MW;;;;;;;;
Honduras;2005;Otros;;MW;;;;;;;;
Honduras;2005;Térmica renovable;59,80;MW;;;;;;;;
Jamaica;2005;Hidro;22,00;MW;;;;;;;;
Jamaica;2005;Térmica no renovable;724,47;MW;;;;;;;;
Jamaica;2005;Nuclear;;MW;;;;;;;;
Jamaica;2005;Geotermia;;MW;;;;;;;;
Jamaica;2005;Eólica;20,70;MW;;;;;;;;
Jamaica;2005;Solar;;MW;;;;;;;;
Jamaica;2005;Otros;;MW;;;;;;;;
Jamaica;2005;Térmica renovable;;MW;;;;;;;;
México;2005;Hidro;10535,93;MW;;;;;;;;
México;2005;Térmica no renovable;33671,04;MW;;;;;;;;
México;2005;Nuclear;1364,88;MW;;;;;;;;
México;2005;Geotermia;959,50;MW;;;;;;;;
México;2005;Eólica;2,21;MW;;;;;;;;
México;2005;Solar;;MW;;;;;;;;
México;2005;Otros;;MW;;;;;;;;
México;2005;Térmica renovable;;MW;;;;;;;;
Nicaragua;2005;Hidro;104,63;MW;;;;;;;;
Nicaragua;2005;Térmica no renovable;456,56;MW;;;;;;;;
Nicaragua;2005;Nuclear;;MW;;;;;;;;
Nicaragua;2005;Geotermia;87,50;MW;;;;;;;;
Nicaragua;2005;Eólica;;MW;;;;;;;;
Nicaragua;2005;Solar;;MW;;;;;;;;
Nicaragua;2005;Otros;;MW;;;;;;;;
Nicaragua;2005;Térmica renovable;121,80;MW;;;;;;;;
Panamá;2005;Hidro;846,00;MW;;;;;;;;
Panamá;2005;Térmica no renovable;662,10;MW;;;;;;;;
Panamá;2005;Nuclear;;MW;;;;;;;;
Panamá;2005;Geotermia;;MW;;;;;;;;
Panamá;2005;Eólica;;MW;;;;;;;;
Panamá;2005;Solar;;MW;;;;;;;;
Panamá;2005;Otros;;MW;;;;;;;;
Panamá;2005;Térmica renovable;;MW;;;;;;;;
Paraguay;2005;Hidro;8810,00;MW;;;;;;;;
Paraguay;2005;Térmica no renovable;6,10;MW;;;;;;;;
Paraguay;2005;Nuclear;;MW;;;;;;;;
Paraguay;2005;Geotermia;;MW;;;;;;;;
Paraguay;2005;Eólica;;MW;;;;;;;;
Paraguay;2005;Solar;;MW;;;;;;;;
Paraguay;2005;Otros;;MW;;;;;;;;
Paraguay;2005;Térmica renovable;;MW;;;;;;;;
Perú;2005;Hidro;3207,06;MW;;;;;;;;
Perú;2005;Térmica no renovable;2992,76;MW;;;;;;;;
Perú;2005;Nuclear;;MW;;;;;;;;
Perú;2005;Geotermia;;MW;;;;;;;;
Perú;2005;Eólica;0,70;MW;;;;;;;;
Perú;2005;Solar;;MW;;;;;;;;
Perú;2005;Otros;;MW;;;;;;;;
Perú;2005;Térmica renovable;;MW;;;;;;;;
República Dominicana;2005;Hidro;464,51;MW;;;;;;;;
República Dominicana;2005;Térmica no renovable;4724,21;MW;;;;;;;;
República Dominicana;2005;Nuclear;;MW;;;;;;;;
República Dominicana;2005;Geotermia;;MW;;;;;;;;
República Dominicana;2005;Eólica;;MW;;;;;;;;
República Dominicana;2005;Solar;;MW;;;;;;;;
República Dominicana;2005;Otros;;MW;;;;;;;;
República Dominicana;2005;Térmica renovable;;MW;;;;;;;;
Suriname;2005;Hidro;189,00;MW;;;;;;;;
Suriname;2005;Térmica no renovable;200,00;MW;;;;;;;;
Suriname;2005;Nuclear;;MW;;;;;;;;
Suriname;2005;Geotermia;;MW;;;;;;;;
Suriname;2005;Eólica;;MW;;;;;;;;
Suriname;2005;Solar;;MW;;;;;;;;
Suriname;2005;Otros;;MW;;;;;;;;
Suriname;2005;Térmica renovable;;MW;;;;;;;;
Trinidad y Tobago;2005;Hidro;;MW;;;;;;;;
Trinidad y Tobago;2005;Térmica no renovable;1416,00;MW;;;;;;;;
Trinidad y Tobago;2005;Nuclear;;MW;;;;;;;;
Trinidad y Tobago;2005;Geotermia;;MW;;;;;;;;
Trinidad y Tobago;2005;Eólica;;MW;;;;;;;;
Trinidad y Tobago;2005;Solar;1,50;MW;;;;;;;;
Trinidad y Tobago;2005;Otros;;MW;;;;;;;;
Trinidad y Tobago;2005;Térmica renovable;;MW;;;;;;;;
Uruguay;2005;Hidro;1538,00;MW;;;;;;;;
Uruguay;2005;Térmica no renovable;496,79;MW;;;;;;;;
Uruguay;2005;Nuclear;;MW;;;;;;;;
Uruguay;2005;Geotermia;;MW;;;;;;;;
Uruguay;2005;Eólica;;MW;;;;;;;;
Uruguay;2005;Solar;;MW;;;;;;;;
Uruguay;2005;Otros;;MW;;;;;;;;
Uruguay;2005;Térmica renovable;14,45;MW;;;;;;;;
Venezuela;2005;Hidro;14414,81;MW;;;;;;;;
Venezuela;2005;Térmica no renovable;7353,13;MW;;;;;;;;
Venezuela;2005;Nuclear;;MW;;;;;;;;
Venezuela;2005;Geotermia;;MW;;;;;;;;
Venezuela;2005;Eólica;0,00;MW;;;;;;;;
Venezuela;2005;Solar;0,02;MW;;;;;;;;
Venezuela;2005;Otros;;MW;;;;;;;;
Venezuela;2005;Térmica renovable;;MW;;;;;;;;
América Central;2005;Hidro;3872,59;MW;;;;;;;;
América Central;2005;Térmica no renovable;3921,53;MW;;;;;;;;
América Central;2005;Nuclear;0,00;MW;;;;;;;;
América Central;2005;Geotermia;430,91;MW;;;;;;;;
América Central;2005;Eólica;68,55;MW;;;;;;;;
América Central;2005;Solar;0,48;MW;;;;;;;;
América Central;2005;Otros;0,00;MW;;;;;;;;
América Central;2005;Térmica renovable;484,10;MW;;;;;;;;
América del Sur;2005;Hidro;125406,03;MW;;;;;;;;
América del Sur;2005;Térmica no renovable;54608,74;MW;;;;;;;;
América del Sur;2005;Nuclear;3012,00;MW;;;;;;;;
América del Sur;2005;Geotermia;0,00;MW;;;;;;;;
América del Sur;2005;Eólica;41,69;MW;;;;;;;;
América del Sur;2005;Solar;0,06;MW;;;;;;;;
América del Sur;2005;Otros;0,00;MW;;;;;;;;
América del Sur;2005;Térmica renovable;3580,93;MW;;;;;;;;
Caribe;2005;Hidro;786,71;MW;;;;;;;;
Caribe;2005;Térmica no renovable;11265,61;MW;;;;;;;;
Caribe;2005;Nuclear;;MW;;;;;;;;
Caribe;2005;Geotermia;;MW;;;;;;;;
Caribe;2005;Eólica;21,21;MW;;;;;;;;
Caribe;2005;Solar;1,72;MW;;;;;;;;
Caribe;2005;Otros;;MW;;;;;;;;
Caribe;2005;Térmica renovable;701,10;MW;;;;;;;;
Cono Sur;2005;Hidro;96422,54;MW;;;;;;;;
Cono Sur;2005;Térmica no renovable;36645,67;MW;;;;;;;;
Cono Sur;2005;Nuclear;3012,00;MW;;;;;;;;
Cono Sur;2005;Geotermia;0,00;MW;;;;;;;;
Cono Sur;2005;Eólica;30,98;MW;;;;;;;;
Cono Sur;2005;Solar;0,00;MW;;;;;;;;
Cono Sur;2005;Otros;0,00;MW;;;;;;;;
Cono Sur;2005;Térmica renovable;3472,63;MW;;;;;;;;
Cono Sur sin Brasil;2005;Hidro;25363,54;MW;;;;;;;;
Cono Sur sin Brasil;2005;Térmica no renovable;20214,05;MW;;;;;;;;
Cono Sur sin Brasil;2005;Nuclear;1005,00;MW;;;;;;;;
Cono Sur sin Brasil;2005;Geotermia;0,00;MW;;;;;;;;
Cono Sur sin Brasil;2005;Eólica;1,98;MW;;;;;;;;
Cono Sur sin Brasil;2005;Solar;0,00;MW;;;;;;;;
Cono Sur sin Brasil;2005;Otros;0,00;MW;;;;;;;;
Cono Sur sin Brasil;2005;Térmica renovable;134,15;MW;;;;;;;;
Zona Andina;2005;Hidro;28794,49;MW;;;;;;;;
Zona Andina;2005;Térmica no renovable;17539,39;MW;;;;;;;;
Zona Andina;2005;Nuclear;;MW;;;;;;;;
Zona Andina;2005;Geotermia;;MW;;;;;;;;
Zona Andina;2005;Eólica;10,70;MW;;;;;;;;
Zona Andina;2005;Solar;0,04;MW;;;;;;;;
Zona Andina;2005;Otros;;MW;;;;;;;;
Zona Andina;2005;Térmica renovable;84,30;MW;;;;;;;;
América Latina y el Caribe;2005;Hidro;140412,26;MW;;;;;;;;
América Latina y el Caribe;2005;Térmica no renovable;103043,24;MW;;;;;;;;
América Latina y el Caribe;2005;Nuclear;4376,88;MW;;;;;;;;
América Latina y el Caribe;2005;Geotermia;1390,41;MW;;;;;;;;
América Latina y el Caribe;2005;Eólica;133,65;MW;;;;;;;;
América Latina y el Caribe;2005;Solar;2,24;MW;;;;;;;;
América Latina y el Caribe;2005;Otros;0,00;MW;;;;;;;;
América Latina y el Caribe;2005;Térmica renovable;4742,13;MW;;;;;;;;
Argentina;2006;Hidro;10009,00;MW;;;;;;;;
Argentina;2006;Térmica no renovable;13094,00;MW;;;;;;;;
Argentina;2006;Nuclear;1005,00;MW;;;;;;;;
Argentina;2006;Geotermia;;MW;;;;;;;;
Argentina;2006;Eólica;0,00;MW;;;;;;;;
Argentina;2006;Solar;0,00;MW;;;;;;;;
Argentina;2006;Otros;;MW;;;;;;;;
Argentina;2006;Térmica renovable;;MW;;;;;;;;
Barbados;2006;Hidro;;MW;;;;;;;;
Barbados;2006;Térmica no renovable;209,50;MW;;;;;;;;
Barbados;2006;Nuclear;;MW;;;;;;;;
Barbados;2006;Geotermia;;MW;;;;;;;;
Barbados;2006;Eólica;;MW;;;;;;;;
Barbados;2006;Solar;0,20;MW;;;;;;;;
Barbados;2006;Otros;;MW;;;;;;;;
Barbados;2006;Térmica renovable;;MW;;;;;;;;
Belice;2006;Hidro;43,00;MW;;;;;;;;
Belice;2006;Térmica no renovable;22,90;MW;;;;;;;;
Belice;2006;Nuclear;;MW;;;;;;;;
Belice;2006;Geotermia;;MW;;;;;;;;
Belice;2006;Eólica;;MW;;;;;;;;
Belice;2006;Solar;0,48;MW;;;;;;;;
Belice;2006;Otros;;MW;;;;;;;;
Belice;2006;Térmica renovable;6,00;MW;;;;;;;;
Bolivia;2006;Hidro;483,28;MW;;;;;;;;
Bolivia;2006;Térmica no renovable;949,51;MW;;;;;;;;
Bolivia;2006;Nuclear;;MW;;;;;;;;
Bolivia;2006;Geotermia;;MW;;;;;;;;
Bolivia;2006;Eólica;0,00;MW;;;;;;;;
Bolivia;2006;Solar;0,00;MW;;;;;;;;
Bolivia;2006;Otros;;MW;;;;;;;;
Bolivia;2006;Térmica renovable;0,00;MW;;;;;;;;
Brasil;2006;Hidro;73679,00;MW;;;;;;;;
Brasil;2006;Térmica no renovable;16669,64;MW;;;;;;;;
Brasil;2006;Nuclear;2007,00;MW;;;;;;;;
Brasil;2006;Geotermia;;MW;;;;;;;;
Brasil;2006;Eólica;237,00;MW;;;;;;;;
Brasil;2006;Solar;0,00;MW;;;;;;;;
Brasil;2006;Otros;;MW;;;;;;;;
Brasil;2006;Térmica renovable;3701,36;MW;;;;;;;;
Chile;2006;Hidro;5084,51;MW;;;;;;;;
Chile;2006;Térmica no renovable;6581,32;MW;;;;;;;;
Chile;2006;Nuclear;0,00;MW;;;;;;;;
Chile;2006;Geotermia;0,00;MW;;;;;;;;
Chile;2006;Eólica;1,98;MW;;;;;;;;
Chile;2006;Solar;0,00;MW;;;;;;;;
Chile;2006;Otros;0,00;MW;;;;;;;;
Chile;2006;Térmica renovable;119,70;MW;;;;;;;;
Colombia;2006;Hidro;8947,39;MW;;;;;;;;
Colombia;2006;Térmica no renovable;4291,25;MW;;;;;;;;
Colombia;2006;Nuclear;;MW;;;;;;;;
Colombia;2006;Geotermia;;MW;;;;;;;;
Colombia;2006;Eólica;18,42;MW;;;;;;;;
Colombia;2006;Solar;;MW;;;;;;;;
Colombia;2006;Otros;;MW;;;;;;;;
Colombia;2006;Térmica renovable;23,40;MW;;;;;;;;
Costa Rica;2006;Hidro;1411,49;MW;;;;;;;;
Costa Rica;2006;Térmica no renovable;423,27;MW;;;;;;;;
Costa Rica;2006;Nuclear;0,00;MW;;;;;;;;
Costa Rica;2006;Geotermia;165,71;MW;;;;;;;;
Costa Rica;2006;Eólica;68,55;MW;;;;;;;;
Costa Rica;2006;Solar;0,00;MW;;;;;;;;
Costa Rica;2006;Otros;0,00;MW;;;;;;;;
Costa Rica;2006;Térmica renovable;27,70;MW;;;;;;;;
Cuba;2006;Hidro;48,20;MW;;;;;;;;
Cuba;2006;Térmica no renovable;4682,30;MW;;;;;;;;
Cuba;2006;Nuclear;;MW;;;;;;;;
Cuba;2006;Geotermia;;MW;;;;;;;;
Cuba;2006;Eólica;0,50;MW;;;;;;;;
Cuba;2006;Solar;0,00;MW;;;;;;;;
Cuba;2006;Otros;;MW;;;;;;;;
Cuba;2006;Térmica renovable;445,00;MW;;;;;;;;
Ecuador;2006;Hidro;1800,73;MW;;;;;;;;
Ecuador;2006;Térmica no renovable;2195,47;MW;;;;;;;;
Ecuador;2006;Nuclear;;MW;;;;;;;;
Ecuador;2006;Geotermia;;MW;;;;;;;;
Ecuador;2006;Eólica;0,00;MW;;;;;;;;
Ecuador;2006;Solar;0,02;MW;;;;;;;;
Ecuador;2006;Otros;;MW;;;;;;;;
Ecuador;2006;Térmica renovable;73,80;MW;;;;;;;;
El Salvador;2006;Hidro;472,63;MW;;;;;;;;
El Salvador;2006;Térmica no renovable;603,50;MW;;;;;;;;
El Salvador;2006;Nuclear;;MW;;;;;;;;
El Salvador;2006;Geotermia;151,20;MW;;;;;;;;
El Salvador;2006;Eólica;;MW;;;;;;;;
El Salvador;2006;Solar;;MW;;;;;;;;
El Salvador;2006;Otros;;MW;;;;;;;;
El Salvador;2006;Térmica renovable;85,50;MW;;;;;;;;
Grenada;2006;Hidro;;MW;;;;;;;;
Grenada;2006;Térmica no renovable;49,70;MW;;;;;;;;
Grenada;2006;Nuclear;;MW;;;;;;;;
Grenada;2006;Geotermia;;MW;;;;;;;;
Grenada;2006;Eólica;;MW;;;;;;;;
Grenada;2006;Solar;;MW;;;;;;;;
Grenada;2006;Otros;;MW;;;;;;;;
Grenada;2006;Térmica renovable;;MW;;;;;;;;
Guatemala;2006;Hidro;653,50;MW;;;;;;;;
Guatemala;2006;Térmica no renovable;874,30;MW;;;;;;;;
Guatemala;2006;Nuclear;;MW;;;;;;;;
Guatemala;2006;Geotermia;20,70;MW;;;;;;;;
Guatemala;2006;Eólica;0,00;MW;;;;;;;;
Guatemala;2006;Solar;0,00;MW;;;;;;;;
Guatemala;2006;Otros;;MW;;;;;;;;
Guatemala;2006;Térmica renovable;276,10;MW;;;;;;;;
Guyana;2006;Hidro;0,00;MW;;;;;;;;
Guyana;2006;Térmica no renovable;238,14;MW;;;;;;;;
Guyana;2006;Nuclear;;MW;;;;;;;;
Guyana;2006;Geotermia;;MW;;;;;;;;
Guyana;2006;Eólica;0,01;MW;;;;;;;;
Guyana;2006;Solar;0,03;MW;;;;;;;;
Guyana;2006;Otros;;MW;;;;;;;;
Guyana;2006;Térmica renovable;24,00;MW;;;;;;;;
Haiti;2006;Hidro;63,00;MW;;;;;;;;
Haiti;2006;Térmica no renovable;181,00;MW;;;;;;;;
Haiti;2006;Nuclear;;MW;;;;;;;;
Haiti;2006;Geotermia;;MW;;;;;;;;
Haiti;2006;Eólica;;MW;;;;;;;;
Haiti;2006;Solar;;MW;;;;;;;;
Haiti;2006;Otros;;MW;;;;;;;;
Haiti;2006;Térmica renovable;;MW;;;;;;;;
Honduras;2006;Hidro;500,90;MW;;;;;;;;
Honduras;2006;Térmica no renovable;985,30;MW;;;;;;;;
Honduras;2006;Nuclear;;MW;;;;;;;;
Honduras;2006;Geotermia;0,00;MW;;;;;;;;
Honduras;2006;Eólica;0,00;MW;;;;;;;;
Honduras;2006;Solar;0,00;MW;;;;;;;;
Honduras;2006;Otros;;MW;;;;;;;;
Honduras;2006;Térmica renovable;59,80;MW;;;;;;;;
Jamaica;2006;Hidro;22,00;MW;;;;;;;;
Jamaica;2006;Térmica no renovable;775,10;MW;;;;;;;;
Jamaica;2006;Nuclear;;MW;;;;;;;;
Jamaica;2006;Geotermia;;MW;;;;;;;;
Jamaica;2006;Eólica;20,70;MW;;;;;;;;
Jamaica;2006;Solar;;MW;;;;;;;;
Jamaica;2006;Otros;;MW;;;;;;;;
Jamaica;2006;Térmica renovable;;MW;;;;;;;;
México;2006;Hidro;10566,33;MW;;;;;;;;
México;2006;Térmica no renovable;35875,76;MW;;;;;;;;
México;2006;Nuclear;1364,88;MW;;;;;;;;
México;2006;Geotermia;959,50;MW;;;;;;;;
México;2006;Eólica;2,21;MW;;;;;;;;
México;2006;Solar;;MW;;;;;;;;
México;2006;Otros;;MW;;;;;;;;
México;2006;Térmica renovable;;MW;;;;;;;;
Nicaragua;2006;Hidro;104,63;MW;;;;;;;;
Nicaragua;2006;Térmica no renovable;449,12;MW;;;;;;;;
Nicaragua;2006;Nuclear;;MW;;;;;;;;
Nicaragua;2006;Geotermia;87,50;MW;;;;;;;;
Nicaragua;2006;Eólica;;MW;;;;;;;;
Nicaragua;2006;Solar;;MW;;;;;;;;
Nicaragua;2006;Otros;;MW;;;;;;;;
Nicaragua;2006;Térmica renovable;121,80;MW;;;;;;;;
Panamá;2006;Hidro;846,50;MW;;;;;;;;
Panamá;2006;Térmica no renovable;620,80;MW;;;;;;;;
Panamá;2006;Nuclear;;MW;;;;;;;;
Panamá;2006;Geotermia;;MW;;;;;;;;
Panamá;2006;Eólica;;MW;;;;;;;;
Panamá;2006;Solar;;MW;;;;;;;;
Panamá;2006;Otros;;MW;;;;;;;;
Panamá;2006;Térmica renovable;;MW;;;;;;;;
Paraguay;2006;Hidro;8810,00;MW;;;;;;;;
Paraguay;2006;Térmica no renovable;6,10;MW;;;;;;;;
Paraguay;2006;Nuclear;;MW;;;;;;;;
Paraguay;2006;Geotermia;;MW;;;;;;;;
Paraguay;2006;Eólica;;MW;;;;;;;;
Paraguay;2006;Solar;;MW;;;;;;;;
Paraguay;2006;Otros;;MW;;;;;;;;
Paraguay;2006;Térmica renovable;;MW;;;;;;;;
Perú;2006;Hidro;3216,00;MW;;;;;;;;
Perú;2006;Térmica no renovable;3441,44;MW;;;;;;;;
Perú;2006;Nuclear;;MW;;;;;;;;
Perú;2006;Geotermia;;MW;;;;;;;;
